Star,Program_ID,Existing_Spitzer_data,Unpublished_Spitzer_Data_location,Date_spitzer_observation,reference_date__spitzer_observation,H2O_15.17_microns,H2O_15.17_uncertainty,reference_H2O_15.17,H2O_17.22_microns,H2O_17.22_uncertainty,reference_H2O_17.22,H2O_29.85_microns,H2O_29.85_uncertainty,reference_H2O_29.85,LH2O,LH2O_lessthan,OH_23.2_microns,OH_23.2_microns_uncertainty,reference_OH_23.2_microns,OH_27.6_microns,OH_27.6_microns_uncertainty,reference_OH_27.6_microns,HCN_flux,HCN_flux_uncertainty,reference_HCN_flux,C2H2_flux,C2H2_flux_uncertainty,reference_C2H2_flux,CO2_flux,CO2_flux_uncertainty,reference_CO2_flux,NeII_12.8_flux,NeII_12.8_flux_uncertainty,reference_NeII_12.8_flux,CO_P6,CO_P6_uncertainty,CO_P6_lessthan,reference_CO_P6,CO_P12,CO_P12_uncertainty,CO_P12_lessthan,reference_CO_P12
HT Lup,1584,Yes_published,,2004-08-30 18:07:59,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/29712/tbview.html,1.75E-17,-99,pontoppidan_2010,1.72E-17,-99,pontoppidan_2010,1.17E-14,1.50E-18,pontoppidan_2010,1.1,1,3.29E-17,-99,salyk_2011,3.11E-17,-99,salyk_2011,9.25E-17,-99,salyk_2011,5.60E-17,-99,salyk_2011,5.58E-17,1.08E-17,salyk_2011,9.60E-17,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
GW Lup,1282,Yes_published,,2004-08-30 22:10:48,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/4301/tbview.html,1.70E-18,-99,pontoppidan_2010,1.80E-18,-99,pontoppidan_2010,3.40E-18,-99,pontoppidan_2010,0.34,1,9.40E-18,-99,salyk_2011,9.60E-18,-99,salyk_2011,1.20E-17,-99,salyk_2011,7.40E-18,-99,salyk_2011,2.08E-17,1.30E-18,salyk_2011,7.00E-18,-99,lahuis_2007,1.57,-99,1,salyk_2011,0.28,-99,1,salyk_2011
IM Lup,1282,Yes_published,,2004-08-30 23:04:21,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/14997/tbview.html,2.40E-18,-99,pontoppidan_2010,2.40E-18,-99,pontoppidan_2010,3.00E-18,-99,pontoppidan_2010,0.30,1,8.70E-18,-99,salyk_2011,8.90E-18,-99,salyk_2011,1.22E-17,-99,salyk_2011,8.10E-18,-99,salyk_2011,8.60E-18,1.50E-18,salyk_2011,6.10E-17,1.60E-17,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
RU Lup,1584,Yes_published,,2004-08-30 23:07:03,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/21618/tbview.html,2.50E-17,1.30E-18,pontoppidan_2010,3.49E-17,1.40E-18,pontoppidan_2010,2.41E-17,8.00E-19,pontoppidan_2010,2.8,0,1.89E-17,-99,salyk_2011,1.76E-17,-99,salyk_2011,3.69E-17,3.90E-18,salyk_2011,1.81E-17,-99,salyk_2011,1.41E-17,3.10E-18,salyk_2011,9.20E-17,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
Sz 114,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
Sz 129,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
MY Lup,1584,Yes_unpublished,"Catalog: ""MY Lup""",2005-08-08 0:17:29,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/7315/tbview.html,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
HD 142666,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
HD 143006,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
AS 205,1584,Yes_published,,2004-08-28 20:15:29,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/22968/tbview.html,1.16E-16,6.50E-18,pontoppidan_2010,1.82E-16,7.40E-18,pontoppidan_2010,9.35E-17,4.80E-18,pontoppidan_2010,8.9,0,1.63E-16,5.80E-18,salyk_2011,4.77E-16,6.80E-18,salyk_2011,2.20E-16,1.95E-17,salyk_2011,2.11E-16,1.50E-17,salyk_2011,2.33E-16,1.60E-17,salyk_2011,2.70E-16,-99,lahuis_2007,24.18,0.6,0,salyk_2011,24.03,1.6,0,salyk_2011
SR 4,1584,Yes_unpublished,"Catalog: ""HD-147889-SR4-WL17"" (second entry)",2006-03-21 8:39:46,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/6273/tbview.html,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
Elias 20,1584,No,"Catalog: Maybe ""vssg1 cluster"", off by .01 arcsec RA",,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
DoAr 25,1584,Yes_published,,2005-08-12 4:42:27,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/13747/tbview.html,2.10E-18,-99,pontoppidan_2010,5.10E-18,-99,pontoppidan_2010,5.30E-18,-99,pontoppidan_2010,0.3,1,1.42E-17,-99,,1.48E-17,-99,salyk_2011,4.88E-17,1.70E-18,salyk_2011,9.90E-18,1.30E-18,salyk_2011,5.90E-18,-99,salyk_2011,,,,-99,-99,-99,-99,-99,-99,-99,-99
Elias 24,1584,Yes_unpublished,"Catalog: ""ODC 162624.0 [EL24]""",,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
Elias 27,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
DoAr 33,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
WSB 52,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
WaOph 6,1282,Yes_published,,2006-03-15 7:06:53,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/12293/tbview.html,1.57E-17,7.00E-19,pontoppidan_2010,1.54E-17,7.00E-19,pontoppidan_2010,1.06E-17,5.00E-19,pontoppidan_2010,0.8,0,4.61E-17,1.30E-18,salyk_2011,4.23E-17,1.50E-18,salyk_2011,1.71E-17,2.00E-18,salyk_2011,8.90E-18,-99,salyk_2011,2.56E-17,1.70E-18,salyk_2011,4.30E-17,-99,lahuis_2007,3.66,0.5,0,salyk_2011,3.37,0.5,0,salyk_2011
AS 209,1584,Yes_unpublished,Dr. Salyk slack message (V1121oph),2006-03-15 7:09:31,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/27243/tbview.html,1.57E-17,-99,CALCULATED,1.03E-17,-99,CALCULATED,1.94E-17,3.73E-18,CALCULATED,-99,-99,1.55E-16,-99,CALCULATED,6.43E-17,-99,CALCULATED,6.80E-17,1.51E-17,CALCULATED,2.79E-17,6.14E-18,CALCULATED,1.81E-16,5.18E-17,CALCULATED,1.40E-16,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
HD 163296,1584,Yes_unpublished,Dr. Salyk slack message,,,-99,-99,-99,9.92E-17,-99,CALCULATED,8.42E-17,-99,CALCULATED,-99,-99,4.86E-15,6.13E-16,CALCULATED,1.38E-16,-99,CALCULATED,8.47E-17,-99,CALCULATED,2.61E-17,-99,CALCULATED,2.43E-16,-99,CALCULATED,4.00E-16,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
FZ Tau,1549,Yes_unpublished,Klaus' reduced folder,,,4.50E-17,3.85E-18,CALCULATED,6.58E-17,2.22E-18,CALCULATED,3.47E-17,6.82E-18,CALCULATED,-99,-99,1.77E-17,-99,CALCULATED,1.99E-16,-99,CALCULATED,5.69E-17,8.72E-18,CALCULATED,3.53E-17,8.53E-18,CALCULATED,2.59E-16,4.59E-17,CALCULATED,6.90E-18,-99,CALCULATED,-99,-99,-99,-99,-99,-99,-99,-99
TW Cha,1549,Yes_published,,2005-07-10 21:07:50,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/2041/tbview.html,6.10E-18,2.00E-19,pontoppidan_2010,1.04E-17,3.00E-19,pontoppidan_2010,5.50E-18,2.00E-19,pontoppidan_2010,1.2,0,1.64E-17,4.00E-19,salyk_2011,1.99E-17,5.00E-19,salyk_2011,2.27E-17,6.00E-19,salyk_2011,1.36E-17,5.00E-19,salyk_2011,2.20E-18,-99,salyk_2011,1.10E-17,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
VZ Cha,1549,Yes_published,,2005-07-12 10:51:07,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/18218/tbview.html,9.40E-18,5.00E-19,pontoppidan_2010,1.39E-17,5.00E-19,pontoppidan_2010,7.50E-18,2.00E-19,pontoppidan_2010,1.4,0,2.56E-17,6.00E-19,salyk_2011,2.79E-17,7.00E-19,salyk_2011,3.69E-17,1.40E-18,salyk_2011,4.59E-17,1.00E-18,salyk_2011,4.80E-18,-99,salyk_2011,2.60E-17,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
GQ Lup,1640,Yes_published,,2004-08-30 22:42:53,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/26629/tbview.html,7.10E-18,6.00E-19,pontoppidan_2010,1.39E-17,6.00E-19,pontoppidan_2010,1.33E-17,4.00E-19,pontoppidan_2010,1.3,0,3.26E-17,1.20E-18,salyk_2011,5.52E-17,1.40E-18,salyk_2011,3.90E-17,1.60E-18,salyk_2011,7.20E-18,-99,salyk_2011,5.60E-18,-99,salyk_2011,2.70E-17,-99,lahuis_2007,5.32,0.3,0,salyk_2011,6.79,0.6,0,salyk_2011
IRAS 04385,1640,Yes_unpublished,Klaus' reduced folder,,,6.05E-18,1.65E-18,CALCULATED,6.69E-18,-99,CALCULATED,2.89E-17,8.85E-18,CALCULATED,-99,-99,8.20E-18,-99,CALCULATED,4.52E-17,-99,CALCULATED,2.24E-17,3.42E-18,CALCULATED,9.45E-18,2.10E-18,CALCULATED,3.26E-17,7.61E-18,CALCULATED,1.04E-17,2.47E-19,CALCULATED,-99,-99,-99,-99,-99,-99,-99,-99
GK Tau,1640,Yes_unpublished,Klaus' reduced folder,,,6.79E-18,1.97E-18,CALCULATED,9.94E-18,-99,CALCULATED,2.74E-17,6.66E-18,CALCULATED,-99,-99,1.80E-17,-99,CALCULATED,2.43E-17,-99,CALCULATED,1.59E-17,-99,CALCULATED,3.48E-18,-99,CALCULATED,3.46E-18,-99,CALCULATED,6.01E-18,1.31E-18,CALCULATED,-99,-99,-99,-99,-99,-99,-99,-99
CI Tau,1640,Yes_unpublished,Klaus' reduced folder,,,1.31E-17,1.41E-18,CALCULATED,1.01E-17,2.87E-18,CALCULATED,1.54E-17,-99,CALCULATED,-99,-99,1.03E-17,-99,CALCULATED,1.29E-17,-99,CALCULATED,3.90E-16,2.95E-17,CALCULATED,2.17E-17,4.44E-18,CALCULATED,5.86E-18,1.09E-18,CALCULATED,6.53E-18,6.56E-19,CALCULATED,-99,-99,-99,-99,-99,-99,-99,-99
RY Lup,1640,Yes_published,,2004-08-30 23:27:29,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/1116/tbview.html,6.50E-18,-99,pontoppidan_2010,7.40E-18,-99,pontoppidan_2010,9.70E-18,-99,pontoppidan_2010,0.7,1,2.81E-17,-99,salyk_2011,2.73E-17,-99,salyk_2011,3.55E-17,-99,salyk_2011,2.30E-17,-99,salyk_2011,1.12E-17,-99,salyk_2011,3.20E-17,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
IQ Tau,1640,Yes_published,,,,5.70E-18,1.00E-18,pontoppidan_2010,9.00E-18,9.00E-19,pontoppidan_2010,5.10E-18,-99,pontoppidan_2010,0.8,0,1.43E-17,-99,salyk_2011,1.39E-17,-99,salyk_2011,5.70E-17,3.00E-18,salyk_2011,4.12E-17,2.30E-18,salyk_2011,1.02E-17,-99,salyk_2011,2.50E-17,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
HP Tau,1640,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
GO Tau,1640,No?,,2004-02-08 2:49:54,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/13640/tbview.html,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99