Star,Program_ID,Existing_Spitzer_data,Unpublished_Spitzer_Data_location,Date_spitzer_observation,reference_date__spitzer_observation,H2O_15.17_microns,H2O_15.17_microns (W/m^2),H2O_15.17_uncertainty,H2O_15.17_lessthan,reference_H2O_15.17,CALCULATED_H2O_15.17_microns,CALCULATED_15.17_less_than,CALCULATED_H20_15.17_uncertainty,H2O_17.22_microns,H2O_17.22_uncertainty,H2O_17.22_lessthan,reference_H2O_17.22,CALCULATED_H2O_17.22_microns,CALCULATED_17.22_less_than,CALCULATED_17.22_uncertainty,H2O_29.85_microns,H2O_29.85_uncertainty,H2O_29.85_lessthan,reference_H2O_29.85,CALCULATED_H2O_29.85_microns,less_than_CALCULATED,CALCULATED_H2O_29.85_microns_UNCERTAINTY,H2O_detection,H2O_detection_reference,LH2O,LH2O_lessthan,OH_23.2_microns,OH_23.2_microns_uncertainty,OH_23.2_microns_lessthan,reference_OH_23.2_microns,CALCULATED_OH_23.2_microns,OH_27.6_microns,OH_27.6_microns_uncertainty,OH_27.6_microns_lessthan,reference_OH_27.6_microns,CALCULATED_OH_27.6_microns,OH_detection,OH_detection_reference,HCN_flux,HCN_flux_uncertainty,HCN_flux_lessthan,reference_HCN_flux,HCN_detection,HCN_detection_reference,CALCULATED_HCN_flux,C2H2_flux,C2H2_flux_uncertainty,C2H2_flux_lessthan,reference_C2H2_flux,C2H2_detection,C2H2_detection_reference,CALCULATED_C2H2_flux,CO2_flux,CO2_flux_uncertainty,CO2_flux_lessthan,reference_CO2_flux,CO2_detection,CO2_detection_reference,CALCULATED_CO2_flux,NeII_12.8_flux,NeII_12.8_flux_uncertainty,NeII_12.8_lessthan,reference_NeII_12.8_flux,CO_P6,CO_P6_uncertainty,CO_P6_lessthan,reference_CO_P6,CO_P12,CO_P12_uncertainty,CO_P12_lessthan,reference_CO_P12
HT Lup,1584,Yes_published,,2004-08-30 18:07:59,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/29712/tbview.html,1.75E-14,1.75E-17,,1,pontoppidan_2010,2.02E-18,1,,1.72E-14,-99,1,pontoppidan_2010,1.71E-17,1,5.71E-18,1.17E-14,1.50E-15,0,pontoppidan_2010,5.34E-18,0,7.83E-18,2,pontoppidan_2010,1.1,1,3.29E-14,-99,1,salyk_2011,,3.11E-14,-99,1,salyk_2011,,0,pontoppidan_2010,9.25E-14,-99,1,salyk_2011,0,pontoppidan_2010,,5.60E-14,-99,1,salyk_2011,0,pontoppidan_2010,,5.58E-14,1.08E-14,0,salyk_2011,1,pontoppidan_2010,,9.60E-15,-99,1,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
GW Lup,1282,Yes_published,,2004-08-30 22:10:48,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/4301/tbview.html,1.70E-15,1.70E-18,-99,1,pontoppidan_2010,3.09E-18,1,,1.80E-15,-99,1,pontoppidan_2010,6.03E-18,1,2.01E-18,3.40E-15,-99,1,pontoppidan_2010,3.88E-18,1,1.29E-18,0,pontoppidan_2010,0.34,1,9.40E-15,-99,1,salyk_2011,,9.60E-15,-99,1,salyk_2011,,0,pontoppidan_2010,1.20E-14,-99,1,salyk_2011,0,pontoppidan_2010,,7.40E-15,-99,1,salyk_2011,0,pontoppidan_2010,,2.08E-14,1.30E-15,0,salyk_2011,1,pontoppidan_2010,,7.00E-16,-99,1,lahuis_2007,1.57,-99,1,salyk_2011,0.28,-99,1,salyk_2011
IM Lup,1282,Yes_published,,2004-08-30 23:04:21,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/14997/tbview.html,2.40E-15,2.40E-18,-99,1,pontoppidan_2010,1.15E-18,1,,2.40E-15,-99,1,pontoppidan_2010,6.06E-18,1,2.02E-18,3.00E-15,-99,1,pontoppidan_2010,2.75E-18,1,9.18E-19,0,pontoppidan_2010,0.30,1,8.70E-15,-99,1,salyk_2011,,8.90E-15,-99,1,salyk_2011,,0,pontoppidan_2010,1.22E-14,-99,1,salyk_2011,0,pontoppidan_2010,,8.10E-15,-99,1,salyk_2011,0,pontoppidan_2010,,8.60E-15,1.50E-15,0,salyk_2011,1,pontoppidan_2010,,6.10E-15,1.60E-15,0,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
RU Lup,1584,Yes_published,,2004-08-30 23:07:03,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/21618/tbview.html,2.50E-14,2.50E-17,1.30E-15,0,pontoppidan_2010,3.22E-17,0,3.08E-18,3.49E-14,1.40E-15,0,pontoppidan_2010,,,,2.41E-14,8.00E-16,0,pontoppidan_2010,2.86E-17,0,1.10E-17,1,pontoppidan_2010,2.8,0,1.89E-14,-99,1,salyk_2011,,1.76E-14,-99,1,salyk_2011,,0,pontoppidan_2010,3.69E-14,3.90E-15,0,salyk_2011,1,pontoppidan_2010,,1.81E-14,-99,1,salyk_2011,0,pontoppidan_2010,,1.41E-14,3.10E-15,0,salyk_2011,1,pontoppidan_2010,,9.20E-15,-99,1,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
Sz 114,1584,No,,,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
Sz 129,1584,No,,,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
MY Lup,1584,Yes_unpublished,"Catalog: ""MY Lup""",2005-08-08 0:17:29,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/7315/tbview.html,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
HD 142666,1584,No,,,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
HD 143006,1584,No,,,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
AS 205,1584,Yes_published,,2004-08-28 20:15:29,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/22968/tbview.html,1.16E-13,1.16E-16,6.50E-15,0,pontoppidan_2010,7.65E-17,0,1.26E-17,1.82E-13,7.40E-15,0,pontoppidan_2010,,,,9.35E-14,4.80E-15,0,pontoppidan_2010,,,,1,pontoppidan_2010,8.9,0,1.63E-13,5.80E-15,0,salyk_2011,,4.77E-13,6.80E-15,0,salyk_2011,,1,pontoppidan_2010,2.20E-13,1.95E-14,0,salyk_2011,1,pontoppidan_2010,,2.11E-13,1.50E-14,0,salyk_2011,1,pontoppidan_2010,,2.33E-13,1.60E-14,0,salyk_2011,1,pontoppidan_2010,,2.70E-14,-99,1,lahuis_2007,24.18,0.6,0,salyk_2011,24.03,1.6,0,salyk_2011
SR 4,1584,Yes_unpublished,"Catalog: ""HD-147889-SR4-WL17"" (second entry)",2006-03-21 8:39:46,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/6273/tbview.html,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
Elias 20,1584,No,"Catalog: Maybe ""vssg1 cluster"", off by .01 arcsec RA",,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
DoAr 25,1584,Yes_published,,2005-08-12 4:42:27,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/13747/tbview.html,2.10E-15,2.10E-18,-99,1,pontoppidan_2010,2.91E-18,1,,5.10E-15,-99,1,pontoppidan_2010,4.92E-18,1,1.64E-18,5.30E-15,-99,1,pontoppidan_2010,,1,,0,pontoppidan_2010,0.3,1,1.42E-14,-99,1,,,1.48E-14,-99,1,salyk_2011,,0,pontoppidan_2010,4.88E-14,1.70E-15,0,salyk_2011,1,pontoppidan_2010,,9.90E-15,1.30E-15,0,salyk_2011,1,pontoppidan_2010,,5.90E-15,-99,1,salyk_2011,0,pontoppidan_2010,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
Elias 24,1584,Yes_unpublished,"Catalog: ""ODC 162624.0 [EL24]""",,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
Elias 27,1584,No,,,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
DoAr 33,1584,No,,,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
WSB 52,1584,No,,,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
WaOph 6,1282,Yes_published,,2006-03-15 7:06:53,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/12293/tbview.html,1.57E-14,1.57E-17,7.00E-16,0,pontoppidan_2010,1.44E-17,0,2.00E-18,1.54E-14,7.00E-16,0,pontoppidan_2010,7.88E-18,0,3.48E-18,1.06E-14,5.00E-16,0,pontoppidan_2010,2.08E-17,0,6.01E-18,1,pontoppidan_2010,0.8,0,4.61E-14,1.30E-15,0,salyk_2011,,4.23E-14,1.50E-15,0,salyk_2011,,1,pontoppidan_2010,1.71E-14,2.00E-15,0,salyk_2011,1,pontoppidan_2010,,8.90E-15,-99,1,salyk_2011,0,pontoppidan_2010,,2.56E-14,1.70E-15,0,salyk_2011,1,pontoppidan_2010,,4.30E-15,-99,1,lahuis_2007,3.66,0.5,0,salyk_2011,3.37,0.5,0,salyk_2011
AS 209,1584,Yes_unpublished,Dr. Salyk slack message (V1121oph),2006-03-15 7:09:31,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/27243/tbview.html,-99,-99,-99,-99,-99,9.28E-18,0,5.24E-18,-99,-99,-99,-99,,,,-99,-99,-99,-99,1.94E-17,0,3.73E-18,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,1.40E-14,-99,1,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
HD 163296,1584,Yes_unpublished,Dr. Salyk slack message,,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,4.00E-14,-99,1,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
FZ Tau,1549,Yes_unpublished,Klaus' reduced folder,,,-99,-99,-99,-99,-99,4.50E-17,0,3.85E-18,-99,-99,-99,-99,,,,-99,-99,-99,-99,3.47E-17,0,6.82E-18,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
TW Cha,1549,Yes_published,,2005-07-10 21:07:50,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/2041/tbview.html,6.10E-15,6.10E-18,2.00E-16,0,pontoppidan_2010,5.64E-18,0,5.75E-19,1.04E-14,3.00E-16,0,pontoppidan_2010,5.85E-18,0,2.07E-18,5.50E-15,2.00E-16,0,pontoppidan_2010,4.95E-18,0,4.35E-18,1,pontoppidan_2010,1.2,0,1.64E-14,4.00E-16,0,salyk_2011,,1.99E-14,5.00E-16,0,salyk_2011,,1,pontoppidan_2010,2.27E-14,6.00E-16,0,salyk_2011,1,pontoppidan_2010,,1.36E-14,5.00E-16,0,salyk_2011,1,pontoppidan_2010,,2.20E-15,-99,1,salyk_2011,0,pontoppidan_2010,,1.10E-15,-99,1,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
VZ Cha,1549,Yes_published,,2005-07-12 10:51:07,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/18218/tbview.html,9.40E-15,9.40E-18,5.00E-16,0,pontoppidan_2010,7.92E-18,0,1.16E-18,1.39E-14,5.00E-16,0,pontoppidan_2010,8.50E-18,0,2.02E-18,7.50E-15,2.00E-16,0,pontoppidan_2010,6.97E-18,0,6.92E-19,1,pontoppidan_2010,1.4,0,2.56E-14,6.00E-16,0,salyk_2011,,2.79E-14,7.00E-16,0,salyk_2011,,1,pontoppidan_2010,3.69E-14,1.40E-15,0,salyk_2011,1,pontoppidan_2010,,4.59E-14,1.00E-15,0,salyk_2011,1,pontoppidan_2010,,4.80E-15,-99,1,salyk_2011,0,pontoppidan_2010,,2.60E-15,-99,1,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
GQ Lup,1640,Yes_published,,2004-08-30 22:42:53,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/26629/tbview.html,7.10E-15,7.10E-18,6.00E-16,0,pontoppidan_2010,6.10E-18,0,1.66E-18,1.39E-14,6.00E-16,0,pontoppidan_2010,7.17E-18,0,2.81E-18,1.33E-14,4.00E-16,0,pontoppidan_2010,1.89E-17,0,2.31E-18,1,pontoppidan_2010,1.3,0,3.26E-14,1.20E-15,0,salyk_2011,,5.52E-14,1.40E-15,0,salyk_2011,,1,pontoppidan_2010,3.90E-14,1.60E-15,0,salyk_2011,1,pontoppidan_2010,,7.20E-15,-99,1,salyk_2011,0,pontoppidan_2010,,5.60E-15,-99,1,salyk_2011,0,pontoppidan_2010,,2.70E-15,-99,1,lahuis_2007,5.32,0.3,0,salyk_2011,6.79,0.6,0,salyk_2011
IRAS 04385,1640,Yes_unpublished,Klaus' reduced folder,,,-99,-99,-99,-99,-99,6.05E-18,0,1.65E-18,-99,-99,-99,-99,4.44E-18,0,2.23E-18,-99,-99,-99,-99,2.89E-17,0,8.85E-18,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
GK Tau,1640,Yes_unpublished,Klaus' reduced folder,,,-99,-99,-99,-99,-99,6.79E-18,0,1.97E-18,-99,-99,-99,-99,8.82E-18,0,3.31E-18,-99,-99,-99,-99,2.74E-17,0,6.66E-18,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
CI Tau,1640,Yes_unpublished,Klaus' reduced folder,,,-99,-99,-99,-99,-99,1.31E-17,0,1.41E-18,-99,-99,-99,-99,1.01E-17,0,2.87E-18,-99,-99,-99,-99,4.55E-18,0,5.14E-18,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
RY Lup,1640,Yes_published,,2004-08-30 23:27:29,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/1116/tbview.html,6.50E-15,6.50E-18,-99,1,pontoppidan_2010,2.41E-18,1,,7.40E-15,-99,1,pontoppidan_2010,6.14E-17,1,2.05E-17,9.70E-15,-99,1,pontoppidan_2010,1.47E-16,1,4.89E-17,0,pontoppidan_2010,0.7,1,2.81E-14,-99,1,salyk_2011,,2.73E-14,-99,1,salyk_2011,,0,pontoppidan_2010,3.55E-14,-99,1,salyk_2011,0,pontoppidan_2010,,2.30E-14,-99,1,salyk_2011,0,pontoppidan_2010,,1.12E-14,-99,1,salyk_2011,0,pontoppidan_2010,,3.20E-15,-99,1,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
IQ Tau,1640,Yes_published,,,,5.70E-15,5.70E-18,1.00E-15,0,pontoppidan_2010,-99,,,0.00,9.00E-16,0,pontoppidan_2010,,,,5.10E-15,-99,1,pontoppidan_2010,,1,,1,pontoppidan_2010,0.8,0,1.43E-14,-99,1,salyk_2011,,1.39E-14,-99,1,salyk_2011,,0,pontoppidan_2010,5.70E-14,3.00E-15,0,salyk_2011,1,pontoppidan_2010,,4.12E-14,2.30E-15,0,salyk_2011,1,pontoppidan_2010,,1.02E-14,-99,1,salyk_2011,0,pontoppidan_2010,,2.50E-15,-99,1,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
HP Tau,1640,No,,,,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
GO Tau,1640,No?,,2004-02-08 2:49:54,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/13640/tbview.html,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,-99
,,,,,,,-99.00,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-99.00,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-99.00,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-99.00,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-99.00,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006 Spitzer 5-7.5 micron fluxes H2o, couple others: https://iopscience.iop.org/article/10.1088/0004-637X/792/2/83/pdf . Looks like 2014 ""update"" or continuation of this paper: https://iopscience.iop.org/article/10.1088/0004-637X/792/2/83 ",,,,,,,-99.00,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011 Spitzer, H2, Ne, Fe, Si, lots of our targets https://www.aanda.org/articles/aa/full_html/2011/04/aa15622-10/aa15622-10.html ",,,,,,,-99.00,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011 Spitzer HCN, Taurus, couple targets: https://iopscience.iop.org/article/10.1088/0004-637X/734/1/27/pdf ",,,,,,,-99.00,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,